username(no_ic),name,email,phoneNumber,iljtm_id,student_ndp,course_id,student_semester,student_session
880209145639,OLIVIA,olivia@gmail.com,01471098284,1,10001,1,1,1/2019
880209145640,RUBY,ruby@gmail.com,01399179672,1,10002,1,1,1/2019
880209145641,EMILY,emily@gmail.com,0185826593,1,10003,1,1,1/2019
880209145642,GRACE,grace@gmail.com,01520654391,1,10004,1,1,1/2019
880209145643,JESSICA,jessica@gmail.com,01259750629,1,10005,1,1,1/2019
880209145644,CHLOE,chloe@gmail.com,01690412406,1,10006,1,1,1/2019
880209145645,SOPHIE,sophie@gmail.com,01611385499,1,10007,1,1,1/2019
880209145646,LILY,lily@gmail.com,01340885005,1,10008,1,1,1/2019
880209145647,AMELIA,amelia@gmail.com,01819354856,1,10009,1,1,1/2019
880209145648,EVIE,evie@gmail.com,01138760606,1,10010,1,1,1/2019
880209145649,MIA,mia@gmail.com,01899792566,1,10011,1,1,1/2019
880209145650,ELLA,ella@gmail.com,01896395808,1,10012,1,1,1/2019
880209145651,CHARLOTTE,charlotte@gmail.com,0136361473,1,10013,1,1,1/2019
880209145652,LUCY,lucy@gmail.com,01507932937,1,10014,1,1,1/2019
880209145653,MEGAN,megan@gmail.com,01464987079,1,10015,1,1,1/2019
880209145654,ELLIE,ellie@gmail.com,01468298437,1,10016,1,1,1/2019
880209145655,ISABELLE,isabelle@gmail.com,01864772375,1,10017,1,1,1/2019
880209145656,ISABELLA,isabella@gmail.com,01574101292,1,10018,1,1,1/2019
